"elite","nonsuspended","suspended","dif"
"ParvanehMafi",0.00962471883508938,0.00743840074384007,-0.00218631809124931
"IranNewspaper",0.183704273706641,0.178056717805672,-0.00564755590096963
"shariatmadari_m",0.0376879365455191,0.0288238028823803,-0.00886413366313883
"Nahavandian_ir",0.0863087486681662,0.0739191073919107,-0.0123896412762555
"azarijahromi",0.419586835562922,0.405857740585774,-0.0137290949771477
"khabaronlinee",0.133923286373861,0.119014411901441,-0.0149088744724193
"kavakebian_ir",0.237184799337043,0.219432821943282,-0.0177519773937605
"alimotahari_ir",0.30245649342962,0.278010227801023,-0.0244462656285972
"isna_farsi",0.30965431514147,0.280334728033473,-0.0293195871079975
"Eshaq_jahangiri",0.404824197940097,0.374709437470944,-0.0301147604691533
"mah_sadeghi",0.502776133538534,0.472338447233845,-0.0304376863046896
"EtemadOnline",0.204522315615011,0.162250116225012,-0.0422721993899996
"HassanRouhani",0.601870486563277,0.555090655509066,-0.0467798310542114
"JZarif",0.823428436131171,0.759646675964668,-0.0637817601665032
"SharghDaily",0.373404759086066,0.283124128312413,-0.0902806307736532
