Name of official/organization,Twitter handle,Official position,Faction,Political affiliation
Davoud Mohammadi,@davood_m_ir,MP - Qazvin (Qazvin),Voice of the Nation,Independent
Eqbal Mohammadian,,MP - Ramhormoz (Khouzestan),Velaayat,Principlist
Jalal Mahmoudzadeh,@JalalMahmodzade,MP - Mahaabaad (Azarbayjan-e Gharbi),,Principlist
Somayyeh Mahmoudi,@mahmoudi_so,MP - Shahreza (Esfahan),,Independent
Mohammad Mahmoudi Shahneshin,,MP - Malaard (Tehran),List of Hope,Reformist
Jalil Mokhtar,@jalilmokhtar,MP - Abadan (Khouzestan),,Principlist
Ahmad Moradi,@ahmad_moradi47,MP - Bandar Abbas (Hormozgan),,Independent
Alimohammad Moradi,,MP - Dehgalaan (Kordestan),List of Hope,Independent
Mansour Moradi,,MP - Marivan (Kordestan),,Independent
Siyamak Moreh Sedq,,MP - Jewish minority,Minorities,Independent
Asghar Masoudi,,MP - Neyriz (Fars),List of Hope,Reformist
Abdolreza Mesri,,MP -Kermanshah (Kermanshah),Velaayat,Principlist
Ali Motahhari,@alimotahari_ir,MP - Tehran (Tehran),List of Hope,Reformist
Mohammadmehdi Mofatteh,,MP - Tooyserkan (Hamedan),Velaayat,Principlist
Seyyed Mehdi Moghaddasi,,MP - Araak (Markazi),List of Hope,Reformist
Hossein Maghsoudi,@maghsodi12121,MP - Sabzevar (Khorasan-e Razavi),,Independent
Allahyar Malekshahi,@Dr_Malekshahi,MP - Kouhdasht (Lorestan),Voice of the Nation,Independent
Mohammadreza Malekshahi Rad,@m_malekshahirad,MP - Khorram Abad (Lorestan),,Principlist
Vali Maleki,,MP - Meshkin Shahr (Ardebil),,Independent
Mohammadreza Mansouri,,MP - Saveh (Markazi),List of Hope,Reformist
Seyyed Farid Mousavi,@sfaridmousavi,MP - Tehran (Tehran),List of Hope,Reformist
Seyyed Abolfazl Mousavi,@mousaviyazd_ir,MP - Yazd (Yazd),List of Hope,Reformist
Seyyed Nasser Mousavi Largani,@MousaviLargani,MP - Felaverjan (Esfahan),Velaayat,Principlist
Seyyed Hemayat Mirzadeh,,MP - Germi (Ardebil),List of Hope,Reformist
Jalal Mirzaei,,MP - Ilam (Ilam),List of Hope,Reformist
Qasem Mirzaeinikou,@Gh_mirzaeinikou,MP - Damavand (Tehran),List of Hope,Reformist
Shahab Naderi,@shahabnaderiii,MP - Paveh (Kermanshah),Velaayat,Principlist
Majid Naserinejad,,MP - Shadegan (Khouzestan),,Principlist
Valiollah Nanvakenari,,MP - Babolsar (Mazandaran),Velaayat,Principlist
Mohammadreza Najafi,@mrezanajafi,MP - Tehran (Tehran),List of Hope,Reformist
Ali Najafi Khoshroudi,@AliNajafi_ir,MP - Babol (Mazandaran),List of Hope,Reformist
Behrouz Nemati,,MP - Tehran (Tehran),List of Hope,Reformist
Seyyed Hossein Naghavi Hosseini,,MP - Varaamin (Tehran),Velaayat,Principlist
Mahmoud Negahban Salaami,@NegahbanM,MP - Khaf (Khorasan-e Razavi),,Reformist
Ali Nobakht Haghighi,,MP - Tehran (Tehran),List of Hope,Reformist
